,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,Rājāpur,25.38,81.15,73.11,25,0,6.4,IN,1604373733
132,Hong Kong,22.29,114.16,75.99,65,6,1.01,HK,1604373549
133,Abnūb,27.27,31.15,62.8,73,0,6.33,EG,1604373735
134,Agidel,55.91,53.94,28.72,93,1,5.88,RU,1604373736
135,Lavrentiya,65.58,-171.0,21.09,88,31,4.25,RU,1604373737
136,Coyhaique,-45.58,-72.07,50.0,76,0,3.36,CL,1604373738
137,Port Hardy,50.7,-127.42,48.2,100,90,18.34,CA,1604373740
138,Khatanga,71.97,102.5,7.86,95,100,7.27,RU,1604373741
139,Hasaki,35.73,140.83,61.0,87,75,5.82,JP,1604373718
140,Kruisfontein,-34.0,24.73,55.99,96,1,1.01,ZA,1604373743
141,Saskylakh,71.92,114.08,10.09,95,100,9.13,RU,1604373744
142,Bocaiúva,-17.11,-43.81,66.2,77,0,4.7,BR,1604373745
143,Williams Lake,52.14,-122.14,48.2,49,90,11.41,CA,1604373746
144,Oranjemund,-28.55,16.43,60.84,88,84,4.59,NA,1604373747
145,Iqaluit,63.75,-68.51,17.01,85,90,27.51,CA,1604373749
146,Burnie,-41.07,145.92,71.01,54,89,7.0,AU,1604373750
147,Chui,-33.7,-53.46,56.39,92,0,6.15,UY,1604373751
148,Río de Jesús,7.98,-81.16,74.97,93,99,9.08,PA,1604373752
149,Puerto Ayora,-0.74,-90.35,69.01,96,97,8.99,EC,1604373350
150,Zhigansk,66.77,123.37,2.37,91,100,18.16,RU,1604373754
151,Bobo-Dioulasso,11.18,-4.3,78.8,57,0,2.24,BF,1604373755
152,Motygino,58.18,94.76,28.56,97,100,8.05,RU,1604373756
153,Manado,1.49,124.85,84.2,70,40,2.24,ID,1604373758
154,Carnarvon,-24.87,113.63,75.2,38,0,14.99,AU,1604373759
155,Chokurdakh,70.63,147.92,-13.11,87,36,9.53,RU,1604373760
156,West Odessa,31.84,-102.5,60.8,37,1,11.41,US,1604373761
157,Amsterdam,52.37,4.89,51.01,71,20,14.99,NL,1604373733
158,Hay River,60.82,-115.8,17.6,85,93,3.36,CA,1604373763
159,Poum,-20.23,164.02,77.9,73,100,4.85,NC,1604373764
160,Bubaque,11.28,-15.83,83.28,75,7,10.87,GW,1604373766
161,Weinan,34.5,109.51,55.99,35,0,6.71,CN,1604373767
162,Dauphin,51.15,-100.05,57.2,58,1,16.11,CA,1604373768
163,Santiago del Estero,-27.8,-64.26,70.11,36,0,8.7,AR,1604373769
164,Gao,16.64,1.64,73.65,21,30,12.37,ML,1604373770
165,Stara Syniava,49.6,27.62,42.75,76,99,4.23,UA,1604373771
166,Yellowknife,62.46,-114.35,10.4,85,90,9.17,CA,1604373772
167,Ixtapa,20.7,-105.2,81.0,88,5,3.8,MX,1604373773
168,São José dos Pinhais,-25.53,-49.21,54.0,93,75,4.7,BR,1604373556
169,Ruska Poliana,49.42,31.92,43.77,90,86,5.06,UA,1604373776
170,Krasnaya Gorbatka,55.87,41.76,36.25,96,3,4.83,RU,1604373777
171,São Filipe,14.9,-24.5,80.01,59,66,5.35,CV,1604373778
172,Tuktoyaktuk,69.45,-133.04,1.4,84,75,9.17,CA,1604373779
173,Lambaréné,-0.7,10.24,73.33,92,98,1.57,GA,1604373780
174,Walvis Bay,-22.96,14.51,57.99,87,0,5.82,NA,1604373781
175,Pitimbu,-7.47,-34.81,77.0,88,40,4.7,BR,1604373782
176,Gondanglegi,-7.75,112.01,87.24,62,26,3.74,ID,1604373784
177,Cayenne,4.93,-52.33,75.2,100,90,10.4,GF,1604373785
178,Castro,-24.79,-50.01,52.12,90,63,10.54,BR,1604373786
179,Tura,25.52,90.22,78.4,78,82,1.99,IN,1604373787
180,Cherskiy,68.75,161.3,-4.41,90,100,8.08,RU,1604373788
181,Arrondissement de Narbonne,43.08,2.83,57.0,91,4,4.0,FR,1604373789
182,Pisco,-13.7,-76.22,64.99,82,90,11.41,PE,1604373605
183,Hualmay,-11.1,-77.61,60.17,85,38,3.36,PE,1604373791
184,Cache Creek,50.81,-121.32,42.8,56,1,17.22,CA,1604373792
185,Guerrero Negro,27.98,-114.06,69.71,75,2,10.87,MX,1604373793
186,East London,-33.02,27.91,64.4,93,40,3.36,ZA,1604373794
187,Airai,-8.93,125.41,80.85,37,94,4.54,TL,1604373795
188,Bengkulu,-3.8,102.27,79.52,80,99,1.92,ID,1604373796
189,Flin Flon,54.77,-101.86,34.93,96,100,7.67,CA,1604373798
190,Paita,-5.09,-81.11,61.7,90,74,8.41,PE,1604373799
191,Bud,39.45,-86.18,43.0,49,8,11.97,US,1604373800
192,Salalah,17.02,54.09,69.8,43,0,3.36,OM,1604373348
193,Bitung,1.45,125.18,86.0,70,40,3.36,ID,1604373802
194,Barrow,71.29,-156.79,28.4,74,90,16.11,US,1604373803
195,Isangel,-19.55,169.27,84.2,70,75,11.41,VU,1604373804
196,Dosso,13.05,3.19,77.2,26,24,7.31,NE,1604373805
197,Chicama,-7.84,-79.15,60.8,84,91,5.26,PE,1604373806
198,Broome,42.25,-75.83,39.0,59,90,12.75,US,1604373807
199,Ntoum,0.38,9.78,77.0,100,75,10.29,GA,1604373808
200,Kalmunai,7.42,81.82,83.35,70,3,6.67,LK,1604373809
201,Eureka,40.8,-124.16,48.99,93,90,5.82,US,1604373748
202,Omboué,-1.57,9.26,74.46,93,72,3.8,GA,1604373812
203,Vrangel',42.73,133.08,38.37,66,52,17.83,RU,1604373813
204,Gualeguay,-33.14,-59.31,56.75,78,0,7.27,AR,1604373814
205,Vao,-22.67,167.48,75.94,87,100,14.27,NC,1604373815
206,Sitka,57.05,-135.33,39.2,80,90,8.05,US,1604373578
207,Atasū,48.68,71.64,30.72,93,61,2.86,KZ,1604373817
208,Tegul'det,57.31,88.17,30.15,97,100,7.34,RU,1604373818
209,Puducherry,11.93,79.83,82.08,74,8,7.52,IN,1604373819
210,Nizhniy Odes,63.64,54.86,26.33,94,10,9.69,RU,1604373820
211,Røros,62.57,11.38,30.2,92,94,2.24,NO,1604373821
212,Bethel,41.37,-73.41,36.0,55,1,5.82,US,1604373760
213,Clyde River,70.47,-68.59,15.8,85,90,5.82,CA,1604373823
214,Lorengau,-2.02,147.27,87.31,63,23,1.14,PG,1604373825
215,San Quintín,30.48,-115.95,51.01,9,0,8.99,MX,1604373826
216,Bilibino,68.05,166.44,-2.09,90,100,5.95,RU,1604373812
217,Ponta Delgada,37.73,-25.67,60.8,67,75,9.17,PT,1604373828
218,Mahébourg,-20.41,57.7,73.4,69,40,12.75,MU,1604373829
219,Saint George,37.1,-113.58,66.99,31,1,5.82,US,1604373536
220,Polyarny,69.2,33.45,37.4,86,75,15.66,RU,1604373831
221,Nísia Floresta,-6.09,-35.21,78.8,78,40,10.29,BR,1604373674
222,Lima,-12.04,-77.03,62.6,82,75,8.05,PE,1604373758
223,Channel-Port aux Basques,47.57,-59.14,43.99,63,24,38.5,CA,1604373834
224,Kumul,42.8,93.45,47.89,46,0,3.44,CN,1604373835
225,Mana,5.66,-53.78,77.27,89,100,7.38,GF,1604373836
226,Sisimiut,66.94,-53.67,18.91,84,100,19.06,GL,1604373837
227,Yerköy,39.64,34.47,43.57,60,0,1.1,TR,1604373838
228,Grindavik,63.84,-22.43,39.2,72,75,8.05,IS,1604373839
229,Arraial do Cabo,-22.97,-42.03,67.89,58,10,2.73,BR,1604373840
230,Kyren,51.68,102.14,33.78,82,97,2.1,RU,1604373842
231,Mount Isa,-20.73,139.5,102.2,10,0,11.41,AU,1604373843
232,Atlantic City,39.36,-74.42,41.0,55,1,6.93,US,1604373595
233,Nyurba,63.28,118.33,9.84,93,100,8.3,RU,1604373845
234,Itoman,26.12,127.67,77.0,65,40,28.86,JP,1604373846
235,Fortuna,40.6,-124.16,48.99,100,90,4.7,US,1604373812
236,Rocha,-34.48,-54.33,52.41,95,0,3.65,UY,1604373848
237,Padang,-0.95,100.35,82.87,67,98,2.15,ID,1604373849
238,Lata,40.16,-8.33,57.99,83,57,4.0,PT,1604373850
239,Madimba,-10.4,40.33,73.98,83,9,4.23,TZ,1604373851
240,Puerto Colombia,10.99,-74.95,82.4,83,40,4.7,CO,1604373852
241,Bredasdorp,-34.53,20.04,62.6,93,97,6.93,ZA,1604373360
242,Laas,46.62,10.7,42.8,93,40,1.12,IT,1604373854
243,Marzuq,14.4,46.47,56.57,37,0,2.28,YE,1604373856
244,Sinnamary,5.38,-52.95,77.76,88,89,8.79,GF,1604373825
245,Dvinskoy,62.15,45.12,33.8,92,99,9.84,RU,1604373858
246,French Rocks,12.5,76.67,75.2,88,75,3.36,IN,1604373859
247,Nhulunbuy,-12.23,136.77,91.4,46,75,13.87,AU,1604373860
248,Kidal,18.44,1.41,72.07,22,100,12.15,ML,1604373861
249,Bambous Virieux,-20.34,57.76,73.4,69,40,12.75,MU,1604373862
250,Hamilton,39.18,-84.53,42.01,41,1,8.05,US,1604373726
251,San Patricio,28.02,-97.52,59.0,76,1,3.36,US,1604373864
252,Çubuk,40.24,33.03,41.0,92,0,3.36,TR,1604373865
253,Huilong,31.81,121.66,63.0,50,0,20.45,CN,1604373866
254,Hirtshals,57.59,9.96,48.0,93,69,1.99,DK,1604373867
255,Honningsvåg,70.98,25.97,45.63,87,79,18.34,NO,1604373869
256,Khorramshahr,30.44,48.17,62.6,93,0,2.24,IR,1604373870
257,Faya,18.39,42.45,53.6,37,0,0.96,SA,1604373871
258,Ponta do Sol,32.67,-17.1,69.8,73,75,14.99,PT,1604373344
259,Sayyan,15.17,44.32,42.53,53,0,4.47,YE,1604373873
260,Port Moresby,-9.44,147.18,86.0,74,40,17.22,PG,1604373874
261,Thinadhoo,0.53,72.93,83.14,72,84,6.02,MV,1604373875
262,Galle,6.04,80.22,82.0,73,62,4.38,LK,1604373876
263,Fort Nelson,58.81,-122.7,8.6,84,90,4.7,CA,1604373877
264,Campagna,40.67,15.11,55.0,90,62,1.99,IT,1604373878
265,Port Lincoln,-34.73,135.87,83.71,29,100,13.06,AU,1604373880
266,Jinchang,38.5,102.17,46.58,45,0,4.23,CN,1604373881
267,Kulevcha,46.03,29.94,45.14,68,0,1.52,UA,1604373882
268,Vila Franca do Campo,37.72,-25.43,60.8,67,75,9.17,PT,1604373809
269,Xaltianguis,17.07,-99.83,82.4,88,20,6.93,MX,1604373884
270,Atherton,53.52,-2.49,43.0,65,27,3.0,GB,1604373885
271,Tanabe,33.73,135.37,64.4,48,20,14.99,JP,1604373886
